Name,X062918.Healthy.ppLN.cDC1,X062918.PanIN.ppLN.cDC1,X062918.Tumor.ppLN.cDC1,X070618.Tumor.ppLN.cDC1,X071618.Tumor.ppLN.cDC1,X071718.PanIN.ppLN.cDC1,X072618.PanIN.ppLN.cDC1,X073018.Healthy.ppLN.cDC1,X080618.Healthy.ppLN.cDC1
ENSMUST00000225674,0,0,8.464111,0.760716,0,4.410914,0,1.666002,0.228485
ENSMUST00000177019,0,0,0.181812,0.925157,0,0,0,0,4.2909
ENSMUST00000043269,31.405647,49.558431,23.595253,45.956713,43.138558,39.58182,32.038576,45.280164,23.751907
ENSMUST00000176207,0,0,0,0,0,0,0,0.658046,0
ENSMUST00000177051,88.199935,106.891223,101.659366,120.338609,115.79036,130.696093,135.024043,95.210734,81.708971
ENSMUST00000176257,0.217963,0,0,3.236289,1.696701,0,0.087502,0,0
ENSMUST00000176359,34.978196,53.002356,17.94733,40.766264,65.944325,39.050854,44.674049,81.215263,22.868067
ENSMUST00000176797,62.306105,61.236083,39.542722,46.528254,67.982796,60.373206,77.923013,103.568113,59.678813
ENSMUST00000224531,0,0,0,0,0,0,2.877807,0,0
ENSMUST00000083500,58.329702,23.482443,0,30.967953,12.152223,16.862884,41.303229,0,0
ENSMUST00000226015,2.43227,1.757652,4.091639,3.539915,2.16544,5.139808,6.649692,0.271148,1.70142
ENSMUST00000225866,1.542724,0,1.361815,0,3.325073,3.158941,0,1.151139,0.863867
ENSMUST00000224782,0,2.868941,2.663292,0,0,0,5.102523,0,0
ENSMUST00000176849,0,0,0,0,0,0.207465,1.735909,0.1974,0
ENSMUST00000176888,90.850655,87.909229,54.813522,69.952115,104.099794,120.462188,126.949339,143.371288,81.692273
ENSMUST00000176609,0.196961,3.582874,0.120076,0,0.603877,21.905367,4.901196,0,4.006151
ENSMUST00000176305,0,0,0,0,0,0,2.521452,0,0
ENSMUST00000176725,5.257691,15.500743,18.504628,8.455657,0,12.924226,20.311862,14.908766,15.4215
ENSMUST00000225176,0,0.612654,0.41261,0,0,0,3.624494,0,0.09271
ENSMUST00000225031,0,0,4.092374,0,9.946372,0,0,11.451088,9.263895
ENSMUST00000175847,17.635789,0,0,0,0,4.201183,15.104558,26.38128,11.252501
ENSMUST00000177060,0,0,0,0,3.618391,0,0,5.79268,0
ENSMUST00000224524,1.511661,3.602201,0.349402,2.290158,0,3.428844,0.414419,0,3.909315
ENSMUST00000176269,0.413748,0.677019,0.760723,0,0.685717,3.966296,3.372324,2.523057,0.263976
ENSMUST00000177117,6.765075,5.850131,0,0,6.690773,5.564693,3.885979,0,0
ENSMUST00000224342,89.750724,83.361316,52.562838,42.781538,96.160788,162.841071,171.198044,173.648465,104.73212
ENSMUST00000224836,0,0,0,0,0,0,0,0,0
ENSMUST00000224030,18.855517,13.11921,0,22.22633,0,0,12.451081,26.729882,0
ENSMUST00000177377,1.601146,2.407753,0.654656,0.966234,3.30918,4.005535,2.350864,1.004193,2.381745
ENSMUST00000176558,2.543059,3.264953,2.305088,1.26661,2.998799,5.060012,6.367031,0.456893,1.284908
ENSMUST00000175939,2.542125,4.512075,1.155863,2.814562,2.807462,13.296016,10.56841,0.325666,3.992628
ENSMUST00000223822,0,0.492355,0,0.134447,0,0,0,0,0.058288
ENSMUST00000225828,0.587128,1.134343,0.462614,0.311529,0.632062,0.358571,1.395345,0.377908,0.035922
ENSMUST00000042450,0.322877,0.27547,0,0.36908,0.958393,1.022965,0.490573,0.499965,0.721367
ENSMUST00000225815,3.683796,5.847667,3.432737,6.225694,5.877927,8.06704,6.970482,6.235571,3.140208
ENSMUST00000224758,0.303055,0.476875,0.057662,0.363354,1.189564,0.776273,0.974067,0.05797,1.082942
ENSMUST00000224479,0.458443,0.75682,0.640342,0.077171,0.414942,0.957957,1.460845,0.268279,0.062605
ENSMUST00000225848,0,0,0,0,0,0.15721,0,0,0
ENSMUST00000140760,0,0,0,0,0,0,0.099213,0,0
ENSMUST00000223882,0,0,0,0,0,0,0,0,0
ENSMUST00000022036,0.004045,0.01682,0,0.069951,0.079215,0.043606,0.009663,0.006439,0.017255
ENSMUST00000224906,0,0,0,0,0,0,0,0,0
ENSMUST00000148396,0,0,0,0,0,0,0,0,0
ENSMUST00000151675,0,0.033177,0.053934,0.127275,0.03397,0.16112,0,0,0.004276
ENSMUST00000225253,1.411504,0,1.208022,0,0,1.662503,0,0,0
ENSMUST00000223707,0.03825,0.211151,0.003588,0.110139,0.033427,0.143959,0.13778,0,0.097902
ENSMUST00000225693,0,0,0,0,0,0,0,0,0
ENSMUST00000224184,0.011524,0,0,0,0,0,0,0,0
ENSMUST00000223974,0.035936,0,0.096029,0.011553,0,0.068806,0,0.038492,0
ENSMUST00000224680,0,0,0,0,0,0,0,0,0
ENSMUST00000225684,0,0,0,0.029681,0,0.043811,0,0,0.016561
ENSMUST00000224161,0,0,0,0,0,0,0,0,0
ENSMUST00000223670,0,0,0,0,0.043042,0,0,0,0.048645
ENSMUST00000225488,0.659498,0.279019,0.518826,0.145016,0.222637,0.137192,0,0,1.891684
ENSMUST00000225119,1.259582,0,0.862017,1.197772,0,0,0.412234,0,0
